name,lat,lon
 广州锦日物业服务有限公司逸彩新世界T1停车场,23.11606857,113.2146424
10-12号宿舍停车场,23.16553475,113.2497954
广州市海珠区琶洲街道社区服务中心（110届广交会临时露天停车场）,23.09978631,113.3489943
350停车场,23.18464942,113.3568263
AEC汽车城露天停车场,23.10693101,113.4060717
ING文化谷停车场,23.086463,113.3230627
海心沙旁P4停车场,23.1131083,113.3305192
T.I.T创意园停车场,23.09803956,113.3240068
廻龙路,23.116437,113.267314
（番禺区）沿江路,23.029209,113.328554
（越秀区）沿江路,23.115489,113.274234
爱都铭轩,23.06640646,113.2982361
爱国路,23.13646,113.289689
安合商务大厦停车场,23.38267707,113.2463837
安监大厦停车场,23.135473,113.280796
广州市白云区安捷停车场,23.15235,113.23269
安骏大厦,23.12326173,113.3427125
太阳新天地停车场,23.12291639,113.3419132
安盛路,23.092495,113.288975
广州安迅汽车检测服务有限公司,23.19255882,113.2839239
润农奥体停车场,23.13542707,113.4078312
澳力停车场,23.08872313,113.3247149
广东航丰物业管理有限公司,23.11598,113.273938
广州白马服装市场有限公司,23.146713,113.254122
白马岗综合楼停车场,23.1231828,113.3549327
雍景街,23.152978,113.351794
广州天寓物业服务有限公司,23.18662188,113.3386517
白天鹅宾馆停车场,23.10575177,113.2432039
广州天寓物业服务有限公司白天鹅花园第二停车场,23.18072413,113.3314848
广州市荣鑫物业管理有限公司,23.22551,113.30893
广东白云城市酒店,23.14745813,113.259733
白云大厦停车场（广州信佳物业管理有限公司）,23.120292,113.285349
广州市屋川物业管理有限公司,23.17349,113.25799
广州市白云区华成综合贸易服务公司,23.21226,113.29151
白云广场公安宿舍停车场,23.184,113.3216
白云国际会议中心停车场,23.18662,113.27821
广州市水投土地开发有限公司,23.22683404,113.2337666
广州市悦华物业管理有限公司新兴白园停车场,23.189812,113.261951
广州市白云区新市白云花园汽车临时保管站站,23.189928,113.261624
白云机场停车场,23.3865,113.302881
白云路,23.11694,113.281353
羊城铁路白云路34号,23.11618698,113.2804906
恒生置业白云路,23.11965533,113.2821643
羊城铁路白云停车场,23.11984,113.285312
筑北停车场,23.1193569,113.2838791
广州市文德房地产物业管理有限公司,23.11977374,113.2824272
信怡物业发展有限公司,23.1181597,113.2825762
广州羿丰置业有限公司,23.15181845,113.2641667
广州市白云区人民医院停车场,23.14515461,113.3138895
广州市白云山园林工程部,23.183239,113.295167
白云山制药总厂生活区后山停车场,23.213861,113.314753
白云山制药总厂生活区前山停车场,23.203335,113.32251
白云山庄停车场,23.20609838,113.2911417
广州地铁物业管理有限责任公司白云雅苑停车场,23.176833,113.235378
白云一街,23.125776,113.286546
广州广电物业管理有限公司,23.17188812,113.2598886
广州市昌岗社区服务有限公司,23.08596952,113.276639
广东宏德科技物业有限公司（柏涛雅苑13－24栋地下停车场）,23.08672948,113.275947
广州中信厚德物业管理有限公司柏蕙花园停车场,23.09836522,113.3096194
百富广场停车场,23.20601,113.28897
百合豪园停车场,23.40578508,113.2089331
百合路,23.404234,113.224903
百合路,23.404052,113.224882
百合雅居小区停车场,23.46722725,113.1499583
百朗居,23.1285892,113.3898222
百利华庭地下停车场,23.10604288,113.2702231
金艺物业百灵商务楼管理处,23.13055318,113.2604277
百脑汇科技大厦停车场,23.13483018,113.3403629
广州市百荣园物业有限公司,23.18512,113.25932
百事佳亨晖,23.11122357,113.5439909
百寿路,23.403795,113.237954
百顺台花园停车场,23.18769686,113.2578743
葵花,22.62973253,113.6188191
百信广场停车场,23.19382112,113.2616454
广州市景民物业有限公司,23.1951,113.2625
百兴大厦地下停车场,23.38819168,113.210603
百业广场南巷,23.400058,113.217239
花都百业商业文化中心大厦停车场,23.40023778,113.2176953
广州三元里都会广场有限公司,23.15939933,113.2579064
邦泰公寓地下停车场,23.09913992,113.3391613
保利百合花园（二期）地下停车场,23.07455973,113.2793427
保利百合,23.072168,113.276673
保利城花园停车场,23.37630642,113.1635249
保利大厦东塔停车场,23.118121,113.319763
保利丰花园地下停车场（二期）,23.10037843,113.2534432
广州保利丰现代物业发展有限公司保利丰花园露天停车场,23.10053633,113.2533789
广州保利丰现代物业管理发展有限公司,23.10097054,113.2531643
香槟花园地下停车场,23.11703557,113.3175159
保利国际停车场,23.10357581,113.3725119
海棠花园停车场,23.07564548,113.273828
红棉花园,23.07525066,113.2756734
保利花城住宅小区室内停车场,23.41662768,113.1942844
保利广州物业管理有限公司,23.071964,113.275216
保利花园,23.0733482,113.2737785
林海山庄,23.18849569,113.3609247
保利林语山庄,23.18080303,113.4535789
保利世界贸易中心停车场,23.09765467,113.3664179
保利水晶花园停车场,23.37701204,113.1541425
保利威座停车场,23.11481046,113.3179155
保利物业管理有限公司花香美苑服务中心停车场,23.08161694,113.2103026
保利壹号公馆停车场,23.25939278,113.8158193
保利心语花园,23.122262,113.33056
保利广州物业管理有限公司,23.1765127,113.4765708
保利中心,23.115869,113.317621
保利中宇广场停车场,23.14097659,113.3419079
保利紫薇花园地下停车场,23.19873,113.25759
保林苑,23.11438122,113.3176768
保税广场停车场,23.06502759,113.5323112
宝安约街,23.133308,113.257637
宝贝城,23.1236128,113.2783087
宝翠园停车场,23.18892963,113.3645296
宝岗大道,23.107251,113.259756
广东省广播电视工程贸易部停车场,23.10458732,113.2644349
广州市海珠区宝健停车场,23.10197713,113.263979
宝华路,23.390636,113.216516
宝华路,23.116854,113.241925
广州瀚联物业管理有限公司,23.0923089,113.2674721
宝星停车场,23.33227667,113.1056857
宝业路,23.091666,113.264529
宝源路,23.118607,113.241844
广州市新峄物业管理有限公司滨江东宝怡阁停车场,23.10166134,113.2970023
保利广州物业管理有限公司北京大厦管理处,23.117989,113.270445
锦源国际公寓停车场,23.11855514,113.2691395
广东粤财服务部,23.12758337,113.2688016
广州市创浚物业管理有限公司,23.115722,113.270628
名盛广场,23.12251185,113.2704324
广州中旅大道房地产开发有限公司,23.11675435,113.2702875
广州市白云区新市北康停车场,23.18271,113.2598
北桥路,22.939323,113.355741
北山围院,23.08427193,113.3735204
房地产物业,23.0653009,113.531583
北园上街,23.044809,113.299189
广州市越秀区瑶华银农停车场,23.16652113,113.2497096
贝月湾小区停车场,23.53904129,113.5900927
碧桂园豪庭停车场,22.78951066,113.544876
广州市德心置业发展有限公司,23.09623356,113.3159494
碧海湾停车场,23.11441083,113.3192754
碧湖翠景花园停车场,23.46058,113.151627
广州金铭物业管理有限公司第六管理处,23.10440475,113.2522738
碧秀路,23.395471,113.231576
碧秀路,23.395421,113.232862
碧映路,23.089954,113.332651
便利停车场,23.3820025,113.2046485
便民停车场,22.83385099,113.5150659
广州金玫瑰物业管理有限公司海盈居停车场,23.10874673,113.2620049
广州市越兴龙实业发展有限公司滨江铂丽廊广场露天停车场,23.102851,113.312498
滨江公园停车场,23.15982,113.21485
广东航丰物业管理有限公司滨江明珠苑停车场,23.10305279,113.3033109
滨江西路（人民桥以东）,23.107857,113.258892
滨江西路（人民桥以西）,23.104733,113.250394
中海社区停车场,23.11088806,113.2755125
滨江怡苑,23.10306266,113.3133316
铂尔曼大酒店停车场,23.39194345,113.304255
广东宏信达房地产开发有限公司,23.1006305,113.324453
卜蜂莲花南街,23.400079,113.217023
卜蜂莲花三元里店停车场,23.1619,113.2571
卜蜂莲花停车场,23.40041902,113.2180314
步东商业大厦停车场,23.10653629,113.463707
财富广场地下车库,23.13584145,113.3291459
财富世纪广场停车场,23.12447536,113.3403254
广州粤台物业管理有限公司财智大厦停车场,23.096638,113.314691
菜园北街、百子横路,23.124054,113.29302
亿业物业,23.11675929,113.5524559
沧联一路,23.115419,113.548131
操场前路,23.117199,113.2533
草芳停车场,23.1108538,113.2690489
茶景苑地下室,23.14870175,113.3553249
广东茶叶进出口有限公司物业管理分公司公司物业管理分公司,23.106111,113.28636
茶园路,23.388387,113.215087
广东裕龙置业发展有限公司裕龙露天停车场,23.08103461,113.2562542
昌岗新晓车辆保管站,23.0871286,113.2797068
广州市海珠区昌岗昌岗中停车场,23.08905869,113.2741928
昌辉停车场,23.3519092,113.2506162
广州市雅乐居物业管理有限公司汽车保管站,23.09500981,113.2595855
广州市常来饭店饮食有限公司,23.1255093,113.2891883
长湴东路,23.1676706,113.3542707
长湴南街,23.16870592,113.3526796
长湴农机站,23.17460914,113.3498955
长湴新村,23.1707378,113.354423
广州长城酒店,23.11979,113.307526
广州市亿瀚物业管理有限公司,23.110108,113.257487
长堤大马路（沿江路、新堤一、二、三横路）,23.111935,113.262194
广州民间金融街管理有限公司,23.11159854,113.2605189
